lower,upper,g
0.746518750017223,0,1
0.749116523388968,0,2
0.751714296760712,0,1
0.754312070132457,0,2
0.756909843504202,0,1
0.759507616875946,0,2
0.762105390247691,0,1
0.764703163619435,0,2
0.76730093699118,0,1
0.769898710362925,0,2
0.772496483734669,0,1
0.775094257106414,0,2
0.777692030478158,0,1
0.780289803849903,0,2
0.782887577221648,0,1
0.785485350593392,0,2
0.788083123965137,0,1
0.790680897336882,0,2
0.793278670708626,0,1
0.795876444080371,0,2
0.798474217452115,0,1
0.80107199082386,0,2
0.803669764195605,0,1
0.806267537567349,0,2
0.808865310939094,0,1
0.811463084310839,0,2
0.814060857682583,0,1
0.816658631054328,0,2
0.819256404426072,0,1
0.821854177797817,0,2
0.824451951169562,0,1
0.827049724541306,0,2
0.829647497913051,0,1
0.832245271284796,0,2
0.83484304465654,0,1
0.837440818028285,0,2
0.840038591400029,0,1
0.842636364771774,0,2
0.845234138143519,0,1
0.847831911515263,0,2
0.850429684887008,0,1
0.853027458258752,0,2
0.855625231630497,0,1
0.858223005002242,0,2
0.860820778373986,0,1
0.863418551745731,0,2
0.866016325117476,0,1
0.86861409848922,0,2
0.871211871860965,0,1
0.873809645232709,0,2
0.876407418604454,0,1
0.879005191976199,0,2
0.881602965347943,0,1
0.884200738719688,0,2
0.886798512091433,0,1
0.889396285463177,0,2
0.891994058834922,0,1
0.894591832206666,0,2
0.897189605578411,0,1
0.899787378950156,0,2
0.9023851523219,0,1
0.904982925693645,0,2
0.90758069906539,0,1
0.910178472437134,0,2
0.912776245808879,0,1
0.915374019180623,0,2
0.917971792552368,0,1
0.920569565924113,0,2
0.923167339295857,0,1
0.925765112667602,0,2
0.928362886039346,0,1
0.930960659411091,0,2
0.933558432782836,0,1
0.93615620615458,0,2
0.938753979526325,0,1
0.941351752898069,0,2
0.943949526269814,0,1
0.946547299641559,0,2
0.949145073013303,0,1
0.951742846385048,0,2
0.954340619756793,0,1
0.956938393128537,0,2
0.959536166500282,0,1
0.962133939872027,0,2
0.964731713243771,0,1
0.967329486615516,0,2
0.96992725998726,0,1
0.972525033359005,0,2
0.97512280673075,0,1
0.977720580102494,0,2
0.980318353474239,0,1
0.982916126845983,0,2
0.985513900217728,0,1
0.988111673589473,0,2
0.990709446961217,0,1
0.993307220332962,0,2
0.995904993704707,0,1
0.998502767076451,0,2
1.0011005404482,0,1
1.00369831381994,0,2
1.00629608719169,0,1
1.00889386056343,0,2
1.01149163393517,0,1
1.01408940730692,0,2
1.01668718067866,0,1
1.01928495405041,0,2
1.02188272742215,0,1
1.0244805007939,0,2
1.02707827416564,0,1
1.02967604753739,0,2
1.03227382090913,0,1
1.03487159428088,0,2
1.03746936765262,0,1
1.04006714102437,0,2
1.04266491439611,0,1
1.04526268776785,0,2
1.0478604611396,0,1
1.05045823451134,0,2
1.05305600788309,0,1
1.05565378125483,0,2
1.05825155462658,0,1
1.06084932799832,0,2
1.06344710137007,0,1
1.06604487474181,0,2
1.06864264811356,0,1
1.0712404214853,0,2
1.07383819485705,0,1
1.07643596822879,0,2
1.07903374160053,0,1
1.08163151497228,0,2
1.08422928834402,0,1
1.08682706171577,0,2
1.08942483508751,0,1
1.09202260845926,0,2
1.094620381831,0,1
1.09721815520275,0,2
1.09981592857449,0,1
1.10241370194624,0,2
1.10501147531798,0,1
1.10760924868973,0,2
1.11020702206147,0,1
1.11280479543321,0,2
1.11540256880496,0,1
1.1180003421767,0,2
1.12059811554845,0,1
1.12319588892019,0,2
1.12579366229194,0,1
1.12839143566368,0,2
1.13098920903543,0,1
1.13358698240717,0,2
1.13618475577892,0,1
1.13878252915066,0,2
1.14138030252241,0,1
1.14397807589415,0,2
1.14657584926589,0,1
1.14917362263764,0,2
1.15177139600938,0,1
1.15436916938113,0,2
1.15696694275287,0,1
1.15956471612462,0,2
1.16216248949636,0,1
1.16476026286811,0,2
1.16735803623985,0,1
1.1699558096116,0,2
1.17255358298334,0,1
